metric,comid,data_type,gageid,p50_obs,result_type,p50_pred,status_code,status,alteration_type,median_in_iqr,refgage
DS_Mag_90,21412601,observed,09529800,0.9,predicted,0.03208218871385,-1,likely_altered,high,FALSE,Non-Ref
FA_Mag,21412601,observed,09529800,1.4044686110071913,predicted,0.774271144900876,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Tim,21412601,observed,09529800,20,predicted,37.6541666666667,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Dur,21412601,observed,09529800,72,predicted,129.2,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,21412601,observed,09529800,1,predicted,3.59818918274959,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Tim,21412601,observed,09529800,235,predicted,198.708333333333,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,21412601,observed,09529800,208,predicted,143.85,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Dur_WS,21412059,observed,09529900,181,predicted,179.791666666667,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Tim,21412059,observed,09529900,339,predicted,257.95,0,indeterminate,late,FALSE,Non-Ref
DS_Mag_50,21412059,observed,09529900,5.2,predicted,0.0153195764095266,-1,likely_altered,high,FALSE,Non-Ref
DS_Mag_90,21412059,observed,09529900,6,predicted,0.0602626579963611,-1,likely_altered,high,FALSE,Non-Ref
SP_Dur,21412059,observed,09529900,99,predicted,129.675,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,21412059,observed,09529900,6.95,predicted,7.49964260185848,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Tim,21412059,observed,09529900,235,predicted,199,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,21412059,observed,09529900,206,predicted,143.85,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Dur_WS,21412135,observed,09530000,79.5,predicted,180.395833333333,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Tim,21412135,observed,09530000,313.5,predicted,254.5625,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Mag_50,21412135,observed,09530000,65.5,predicted,0.329822372919538,-1,likely_altered,high,FALSE,Non-Ref
DS_Mag_90,21412135,observed,09530000,70.71000000000001,predicted,1.49282653917906,-1,likely_altered,high,FALSE,Non-Ref
FA_Mag,21412135,observed,09530000,102.0304677824789,predicted,31.9953909225643,1,likely_unaltered,none_found,FALSE,Non-Ref
FA_Tim,21412135,observed,09530000,22,predicted,37.5291666666666,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Dur,21412135,observed,09530000,63,predicted,123.333333333333,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,21412135,observed,09530000,79,predicted,149.429354300691,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Tim,21412135,observed,09530000,243,predicted,198.166666666667,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,21412135,observed,09530000,215.5,predicted,147.0625,1,likely_unaltered,none_found,FALSE,Non-Ref
DS_Dur_WS,20247268,observed,10251300,163,predicted,154.6,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Tim,20247268,observed,10251300,288,predicted,281.425,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Mag_50,20247268,observed,10251300,0.06,predicted,178.390297671913,-1,likely_altered,low,FALSE,Non-Ref
DS_Mag_90,20247268,observed,10251300,0.12,predicted,265.867518973198,-1,likely_altered,low,FALSE,Non-Ref
FA_Dur,20247268,observed,10251300,6,predicted,5,1,likely_unaltered,none_found,TRUE,Non-Ref
FA_Mag,20247268,observed,10251300,6.707781675539293,predicted,1688.74322547512,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,20247268,observed,10251300,40,predicted,36.9333333333334,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_ROC,20247268,observed,10251300,0.18181818181818185,predicted,0.0759493670886077,-1,likely_altered,high,FALSE,Non-Ref
SP_Dur,20247268,observed,10251300,115,predicted,131.275,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_Mag,20247268,observed,10251300,24.05,predicted,2967.65206813493,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,20247268,observed,10251300,176,predicted,179.979166666667,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,20247268,observed,10251300,130,predicted,138.8,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_10,20247268,observed,10251300,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_2,20247268,observed,10251300,4,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,20247268,observed,10251300,2,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_10,20247268,observed,10251300,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_2,20247268,observed,10251300,2,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_5,20247268,observed,10251300,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Dur_WS,20247386,observed,10251330,159,predicted,153.966666666666,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Tim,20247386,observed,10251330,270,predicted,281.35,1,likely_unaltered,none_found,TRUE,Non-Ref
DS_Mag_50,20247386,observed,10251330,0.9824999999999999,predicted,180.543114937614,-1,likely_altered,low,FALSE,Non-Ref
DS_Mag_90,20247386,observed,10251330,1.73,predicted,268.967912076906,-1,likely_altered,low,FALSE,Non-Ref
FA_Dur,20247386,observed,10251330,2.5,predicted,5,1,likely_unaltered,none_found,FALSE,Non-Ref
FA_Mag,20247386,observed,10251330,7.370588111888493,predicted,1702.04265991593,-1,likely_altered,low,FALSE,Non-Ref
FA_Tim,20247386,observed,10251330,18.5,predicted,37.1208333333334,1,likely_unaltered,none_found,TRUE,Non-Ref
SP_ROC,20247386,observed,10251330,0.05002000800320126,predicted,0.0759493670886077,1,likely_unaltered,none_found,FALSE,Non-Ref
SP_Dur,20247386,observed,10251330,65,predicted,130,1,likely_unaltered,none_found,FALSE,Non-Ref
SP_Mag,20247386,observed,10251330,6.195,predicted,3027.83992110623,-1,likely_altered,low,FALSE,Non-Ref
SP_Tim,20247386,observed,10251330,197,predicted,180.6,1,likely_unaltered,none_found,TRUE,Non-Ref
Wet_BFL_Dur,20247386,observed,10251330,109,predicted,139.966666666666,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_10,20247386,observed,10251330,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_2,20247386,observed,10251330,7,predicted,3,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Dur_5,20247386,observed,10251330,1,predicted,2,1,likely_unaltered,none_found,TRUE,Non-Ref
Peak_Fre_10,20247386,observed,10251330,1,predicted,1,1,likely_unaltered,none_found,TRUE,Non-Ref
