stream_class,gage,stat,year,data,maxYr,minYr,YrRange
Class-6,11199500,Avg,1951,4.29068493150685,2005,1951,54
Class-6,11220500,Avg,1954,10.131232876712328,1973,1954,19
Class-6,11269300,Avg,1960,3.8844262295081964,1980,1960,20
Class-6,11274500,Avg,1951,13.385753424657535,2015,1951,64
Class-6,11274630,Avg,1966,0.9679452054794523,2015,1966,49
Class-6,11337500,Avg,1954,0.7167123287671233,1983,1954,29
Class-6,11371000,Avg,1951,219.54794520547946,1993,1951,42
Class-6,11372000,Avg,1951,434.36712328767123,1962,1951,11
Class-6,11375700,Avg,1957,129.13671232876712,1980,1957,23
Class-6,11449500,Avg,1951,73.81315068493151,2015,1951,64
Class-6,11451100,Avg,1972,39.734098360655736,2016,1972,44
Class-6,11460100,Avg,1966,5.442465753424657,1986,1966,20
Class-6,11464500,Avg,1951,183.82739726027398,1980,1951,29
Class-6,11473100,Avg,1962,67.75945205479452,1970,1962,8
Class-6,11480800,Avg,1958,197.45945205479453,1974,1958,16
Class-6,11522300,Avg,1958,889.5232876712329,1965,1958,7
Class-6,11525530,Avg,2003,NaN,2016,2003,13
Class-6,11525670,Avg,2005,52.352109589041085,2016,2005,11
Class-6,11528700,Avg,1966,1269.558904109589,2015,1966,49
Class-7,11116000,Avg,1951,0.8175342465753423,1983,1951,32
Class-7,11120510,Avg,1971,0.8761095890410958,1981,1971,10
Class-7,11120520,Avg,1971,0.7272054794520548,2013,1971,42
Class-7,11120550,Avg,1967,6.378356164383561,1986,1967,19
Class-7,11132500,Avg,1951,0.45041095890410954,1988,1951,37
Class-7,11138500,Avg,1951,1.6441095890410957,2015,1951,64
Class-7,11172100,Avg,1962,2.3945205479452056,1987,1962,25
Class-7,11172945,Avg,1995,44.94602739726027,2015,1995,20
Class-7,11173200,Avg,1969,92.32438356164384,2015,1969,46
Class-7,11176400,Avg,1964,4.387158469945355,2016,1964,52
Class-7,11224500,Avg,1951,0.1304109589041096,2015,1951,64
Class-7,11253310,Avg,1967,4.341369863013698,2015,1967,48
Class-8,10255800,Avg,1951,3.3860273972602735,1983,1951,32
Class-8,11023250,Avg,1978,2.8563835616438356,1987,1978,9
